
boss,level,ap,strategy,runs,win_rate,avg_rounds,avg_ap_left,avg_hp_pct,avg_flasks_used
snake,3,20,tactical,400,0.070,35.8,17.7,-4.6,1.85
snake,3,20,greedy,400,0.432,22.2,25.9,6.1,1.28
snake,3,20,turtle,400,0.315,47.7,0.3,1.2,1.88
snake,3,28,tactical,400,0.043,35.3,25.7,-5.3,1.82
snake,3,28,greedy,400,0.422,22.1,33.9,5.2,1.24
snake,3,28,turtle,400,0.212,51.7,3.4,1.1,1.84
snake,3,35,tactical,400,0.037,35.6,32.7,-5.8,1.83
snake,3,35,greedy,400,0.405,22.0,40.9,5.1,1.25
snake,3,35,turtle,400,0.155,53.4,8.2,0.1,1.87
snake,8,20,tactical,400,0.432,45.6,15.6,6.9,1.79
snake,8,20,greedy,400,0.355,25.7,26.0,3.3,1.48
snake,8,20,turtle,400,0.935,48.6,3.0,48.4,1.13
snake,8,28,tactical,400,0.378,45.7,23.3,4.2,1.77
snake,8,28,greedy,400,0.405,25.5,33.9,5.1,1.48
snake,8,28,turtle,400,0.978,51.0,8.8,50.4,1.18
snake,8,35,tactical,400,0.415,45.6,30.4,5.7,1.77
snake,8,35,greedy,400,0.398,25.4,40.9,4.4,1.43
snake,8,35,turtle,400,0.983,50.5,16.0,52.1,1.14
snake,15,20,tactical,400,0.848,59.7,11.6,27.0,1.44
snake,15,20,greedy,400,0.188,32.6,25.9,-2.9,1.75
snake,15,20,turtle,400,1.000,51.9,7.6,74.7,0.82
snake,15,28,tactical,400,0.855,59.6,19.8,29.5,1.42
snake,15,28,greedy,400,0.120,32.4,33.9,-3.7,1.73
snake,15,28,turtle,400,1.000,51.5,15.9,74.1,0.77
snake,15,35,tactical,400,0.882,59.5,26.7,29.5,1.40
snake,15,35,greedy,400,0.182,32.7,40.9,-2.9,1.75
snake,15,35,turtle,400,1.000,51.7,22.9,75.5,0.84
demon,3,20,tactical,400,0.000,32.1,18.7,-6.7,1.78
demon,3,20,greedy,400,0.083,25.2,25.7,-5.4,1.66
demon,3,20,turtle,400,0.052,48.9,0.0,-6.6,1.89
demon,3,28,tactical,400,0.000,32.6,26.7,-6.4,1.84
demon,3,28,greedy,400,0.098,25.3,33.7,-5.0,1.65
demon,3,28,turtle,400,0.018,54.2,0.9,-6.6,1.85
demon,3,35,tactical,400,0.000,32.2,33.9,-6.8,1.80
demon,3,35,greedy,400,0.090,25.5,40.7,-4.6,1.67
demon,3,35,turtle,400,0.018,56.2,4.3,-4.4,1.84
demon,8,20,tactical,400,0.052,49.8,14.5,-3.7,1.95
demon,8,20,greedy,400,0.080,29.0,25.8,-4.8,1.78
demon,8,20,turtle,400,0.630,56.0,0.5,17.0,1.32
demon,8,28,tactical,400,0.028,49.8,22.3,-4.3,1.95
demon,8,28,greedy,400,0.070,28.6,33.7,-5.0,1.75
demon,8,28,turtle,400,0.800,61.8,3.0,26.0,1.27
demon,8,35,tactical,400,0.043,50.2,29.5,-3.6,1.95
demon,8,35,greedy,400,0.098,28.7,40.7,-4.7,1.75
demon,8,35,turtle,400,0.850,63.6,8.3,30.3,1.26
demon,15,20,tactical,400,0.502,71.0,9.3,9.4,1.73
demon,15,20,greedy,400,0.010,32.8,25.2,-6.2,1.74
demon,15,20,turtle,400,0.985,64.3,2.9,71.0,0.96
demon,15,28,tactical,400,0.552,71.3,17.1,10.6,1.72
demon,15,28,greedy,400,0.005,32.8,33.2,-6.2,1.75
demon,15,28,turtle,400,1.000,64.6,10.7,78.8,0.99
demon,15,35,tactical,400,0.557,71.5,23.9,10.4,1.68
demon,15,35,greedy,400,0.007,32.3,40.1,-6.5,1.70
demon,15,35,turtle,400,1.000,64.9,17.2,77.1,0.95
chimera,3,20,tactical,400,0.005,28.0,21.2,-8.9,1.75
chimera,3,20,greedy,400,0.203,22.1,25.6,-1.3,1.24
chimera,3,20,turtle,400,0.138,52.3,0.0,-6.0,1.87
chimera,3,28,tactical,400,0.007,29.1,29.5,-10.0,1.79
chimera,3,28,greedy,400,0.260,22.5,33.6,1.1,1.29
chimera,3,28,turtle,400,0.077,59.9,0.1,-7.3,1.82
chimera,3,35,tactical,400,0.010,28.6,36.5,-8.7,1.80
chimera,3,35,greedy,400,0.260,22.5,40.6,1.0,1.27
chimera,3,35,turtle,400,0.020,64.2,0.7,-8.9,1.77
chimera,8,20,tactical,400,0.045,52.5,13.1,-4.3,1.84
